seed,team,b_mean_pen
1,DUKE,87.0
7,NEV,53.0
2,UK,37.2995616977893
4,KSU,33.0
14,GAST,10.673036882080936
10,IOWA,0.0
8,USU,-9.93257099294837
6,VILL,-14.945384930706354
6,BUFF,-14.95762533352061
12,ORE,-38.0
2,MSU,-38.0
14,YALE,-39.50223327815638
16,FDU,-39.62127862967736
15,ACU,-52.29725888090232
11,SMC,-52.374860142275054
7,CIN,-68.51601573475693
5,AUB,-70.66907271244885
9,WASH,-75.10270232074538
7,WOF,-80.58840045945998
10,HALL,-82.94265985431002
12,NMSU,-83.82698527302757
14,ODU,-85.60606230389962
10,FLA,-86.64761734314214
3,LSU,-93.17224575399925
11,SJU,-97.6110146909295
16,PV,-103.68035184679074
13,NE,-104.39872215724007
12,LIB,-104.81887301765829
15,MONT,-118.0
3,TTU,-123.70445389751245
8,MISS,-126.418707808794
1,GONZ,-127.38996908653434
1,UNC,-127.88908345971134
9,OKLA,-130.0
13,SLU,-131.39337757796338
11,BEL,-134.49701698920393
4,FSU,-135.74811483679017
9,BAY,-137.1096060654829
15,COLG,-137.49605420022678
4,VT,-142.41486852281514
13,UCI,-146.8218077865505
13,UVM,-150.74106858397556
4,KU,-153.22518371716245
16,NCCU,-153.6961697134855
5,MSST,-154.00442773158198
9,UCF,-154.33519477289684
16,NDSU,-158.98713072144034
7,LOU,-160.5142234697725
11,TEM,-160.75464000118689
16,WEBB,-167.40224882873505
11,OSU,-169.1220883948157
5,WIS,-174.2498285059707
3,PUR,-176.64054721913834
14,NKU,-185.2901651913292
10,MINN,-188.9903291053896
6,MD,-192.51772738945877
16,IONA,-197.91777479231212
3,HOU,-198.87156744928524
8,VCU,-204.26948056522173
5,MARQ,-214.85043135072226
12,MURR,-218.2844880348791
15,BRAD,-227.25912965571868
6,ISU,-233.4864251666176
11,ASU,-249.10253377490406
8,SYR,-252.98401536023977
1,UVA,-291.6610567417951
2,MICH,-374.11002868914727
2,TENN,-379.0
